ID,Name,Department,Overall Rating,Number of Ratings,Would Take Again Percent,Level of Difficulty
704604,Dilip Sarkar,Computer Science,1.9,38,20.5882,4.0
2275708,Lokesh Ramamoorthi,Computer Science,4.6,25,92.0,2.2
1006785,Victor Milenkovic,Computer Science,2.4,77,38.5965,4.6
2921329,Mitsunori Ogihara,Computer Science,3.8,5,66.6667,3.0
3161987,Ryan Kuhl,Computer Science,5.0,4,100.0,1.3
737486,Geoff Sutcliffe,Computer Science,4.4,46,85.0,3.3
1914729,Stefan Wuchty,Computer Science,3.1,20,50.0,3.0
2878545,Hien Nguyen,Computer Science,3.5,36,66.6667,2.6
2768450,Liang Liang,Computer Science,3.2,10,70.0,2.2
2027578,Odelia  Schwartz,Computer Science,4.6,6,75.0,2.0
2740822,Jerry Bonnell,Computer Science,4.9,11,100.0,2.5
2785967,Mohamed Iskandarani,Computer Science,1.6,5,20.0,4.6
2751332,Lorena Lopez,Computer Science,3.8,4,75.0,3.3
2820049,David Chapman,Computer Science,4.5,2,100.0,2.5
1482826,Ubbo Visser,Computer Science,3.5,12,57.1429,3.8
2351800,Burton Rosenberg,Computer Science,2.2,14,35.7143,4.2
3063328,Rajesh Pasupuleti,Computer Science,5.0,1,100.0,2.0
2887321,Mingzhe Chen,Computer Science,5.0,1,100.0,3.0
2652049,Vanessa Aguiar-Pullido,Computer Science,3.7,7,71.4286,4.0
987207,Huseyin Kocak,Computer Science,4.1,9,60.0,2.9
2425733,Nelson Dellis,Computer Science,4.5,15,93.3333,2.0
2164942,Mahsa Mirzargar,Computer Science,4.8,4,100.0,3.0
2229791,Chloe Arluck,Computer Science,5.0,2,100.0,4.0
2136911,Andreas Seekircher,Computer Science,3.4,3,0.0,3.3
2014298,Nakul Datar,Computer Science,3.0,1,-1.0,3.0
1255101,Gavriil Tsechpenakis,Computer Science,4.8,3,-1.0,3.7
1722693,Carlos Gallo,Computer Science,3.3,2,-1.0,3.5
593190,Robert Grauer,Computer Science,3.0,15,-1.0,3.1
1622689,Dimitris Papamichail,Computer Science,3.0,1,-1.0,4.0
607142,Joel Stutz,Computer Science,2.9,10,-1.0,2.9
507021,Margot Hummer,Computer Science,3.4,16,-1.0,3.4
2941855,Stephen Dennis,Computer Science,0.0,0,-1.0,0.0
3119870,Mostafa Abdel-Mottaleb,Computer Science,0.0,0,-1.0,0.0
2748665,Seyyedeh Mirzargar,Computer Science,0.0,0,-1.0,0.0
2346586,Blake Rosenberg,Computer Science,0.0,0,-1.0,0.0
2271951,Hakan Can,Computer Science,0.0,0,-1.0,0.0
2720945,Alexander Korogodsky,Business Technology,2.2,102,30.0971,3.5
3036931,Ilaria Raniero,Business Technology,4.6,25,92.0,2.1
2640858,Niam Yaraghi,Business Technology,3.8,36,69.4444,2.9
2500943,Javier Morales,Business Technology,4.2,12,66.6667,3.3
2730428,Erotokritos Skordilis,Business Technology,2.9,23,41.6667,3.2
1998947,Maikel Leon,Business Technology,4.8,105,98.9583,3.2
2836982,Nina Huang,Business Technology,5.0,9,100.0,2.4
2211174,Wendy Chun,Business Technology,4.3,82,81.7073,3.6
2330974,Chun David,Business Technology,5.0,3,100.0,3.7
2676439,Pedro Carrasco,Business Technology,3.3,7,85.7143,2.4
2640861,Ola Henfridsson,Business Technology,2.9,7,42.8571,3.3
2692359,David Durham,Business Technology,4.0,1,100.0,3.0
2299720,Jose Sevilla,Business Technology,1.6,30,10.0,4.1
2974318,Maria-Leonor Lovo,Business Technology,0.0,0,-1.0,0.0
2794068,Robert Gregory,Business Technology,0.0,0,-1.0,0.0
2594207,Jason Grant,Engineering,2.3,10,18.1818,3.1
120972,Stephen Murrell,Engineering,3.8,65,53.3333,3.7
3147725,Dibyendu Mukherjee,Engineering,0.0,0,-1.0,0.0
1841460,Nigel John,Engineering,3.7,25,80.0,3.8
2245738,Xiaodong Cai,Engineering,2.4,5,42.8571,3.6
154290,Edward Dauer,Engineering,4.4,418,100.0,2.7
2207278,Hammam Alsafrjalani,Engineering,3.0,24,56.0,3.8
3094750,Sivakumar Ramanathan,Engineering,5.0,4,100.0,4.0
2636930,Michael Wang,Engineering,2.1,10,27.2727,3.9
890716,James Giancaspro,Engineering,4.1,38,68.0,3.9
1765764,Weiyong GU,Engineering,1.7,11,11.1111,4.2
3010436,Giacomo Po,Engineering,4.0,1,100.0,3.0
1142344,Shahriar Negahdaripour,Engineering,2.1,15,14.2857,4.7
3124660,Diego Palacios,Engineering,5.0,2,100.0,4.5
2557448,Luis Ruiz Pestana,Engineering,4.0,5,80.0,3.4
2092822,Ramin Moghaddass,Engineering,3.9,13,70.0,3.1
989544,Nina Miville,Engineering,4.0,21,66.6667,2.6
2819595,Samiul Amin,Engineering,3.8,5,60.0,2.6
2300130,Khaled Zakaria,Engineering,3.3,4,50.0,2.5
1901602,Matthew Trussoni,Engineering,2.5,5,0.0,3.0
725288,Mansur Kabuka,Engineering,3.0,21,11.1111,3.5
2736860,Sakhrat Khizroev,Engineering,5.0,2,100.0,1.5
2164723,Francesco Travascio,Engineering,2.9,9,55.5556,3.0
2706618,Jaime Buitrago,Engineering,5.0,21,100.0,3.9
1250369,David Chin,Engineering,3.4,20,64.7059,4.3
1533633,Esber Andiroglu,Engineering,3.3,9,37.5,3.3
3100617,Yang Wang,Engineering,5.0,1,100.0,3.0
3073892,mario beruvides,Engineering,4.7,3,66.6667,2.0
2407809,Emrah Celik,Engineering,2.6,7,28.5714,4.0
779527,Vincent Omachonu,Engineering,4.5,12,100.0,2.4
900009,Murat Erkoc,Engineering,4.7,6,100.0,3.0
666195,Michael Swain,Engineering,3.8,19,83.3333,3.0
2396131,Ines Basalo,Engineering,4.8,11,100.0,3.0
2003985,Nurcin Celik,Engineering,4.8,4,100.0,3.8
2966302,Jiayu Li,Engineering,5.0,4,100.0,3.0
1546787,Helena Solo-Gabriele,Engineering,3.7,3,50.0,1.7
1247911,Matt Swain,Engineering,3.3,3,50.0,3.0
1818469,Abdul Hamid Samra,Engineering,3.5,16,75.0,3.3
2563065,Christian Steputat,Engineering,5.0,1,100.0,2.0
2084326,Jie Xu,Engineering,3.5,2,100.0,3.0
2409880,Armando Gonzalez,Engineering,4.5,4,100.0,3.5
2908857,Bianca Heilman,Engineering,5.0,1,100.0,2.0
2739094,Sungjin Kim,Engineering,2.7,3,33.3333,3.7
859758,Mohamed Fahmy,Engineering,3.6,23,71.4286,2.8
1991789,Diana Arboleda,Engineering,3.1,14,77.7778,4.4
1378388,Bertrand Dano,Engineering,2.5,7,100.0,2.9
1726548,Kamal Premaratne,Engineering,2.8,9,50.0,3.8
2231011,Singiresu Rao,Engineering,1.0,1,0.0,5.0
1831536,Narasimhan Ramarathnam,Engineering,2.4,8,40.0,4.1
1124485,Philips Liu,Engineering,1.6,5,0.0,2.8
1810427,Victor Graham,Engineering,3.0,9,40.0,3.6
2463338,Joseph Sharit,Engineering,4.0,1,100.0,4.0
827,Michael Scordilis,Engineering,3.5,17,33.3333,3.7
1827586,Miroslav Kubat,Engineering,3.9,18,80.0,3.1
2068803,Mei-Ling Shyu,Engineering,3.0,2,0.0,1.0
129986,Fahad Algheshyan,Engineering,4.7,49,90.0,2.4
1504174,Sung Kim,Engineering,3.1,6,100.0,2.5
1250364,Wimal Suaris,Engineering,2.8,4,33.3333,3.8
2515332,Mishaal Ashemimry,Engineering,3.7,3,33.3333,4.3
2369018,Mauro Fittipaldi,Engineering,2.5,6,16.6667,4.0
2484224,James Coakley,Engineering,4.0,1,100.0,1.0
2299422,Ryan Karkkainen,Engineering,4.3,4,75.0,3.0
1247907,Hongtan Liu,Engineering,2.6,4,0.0,2.5
676736,S.S Rao,Engineering,3.1,4,100.0,2.8
1692289,Jose Rodriguez,Engineering,2.0,4,100.0,3.0
1378390,Qingda Yang,Engineering,3.3,2,100.0,4.0
2009288,Amir Abdelzaher,Engineering,4.0,3,100.0,2.3
2262358,Gang Wang,Engineering,5.0,1,100.0,2.0
2053717,Nazrul Shaikh,Engineering,5.0,4,100.0,4.3
1335871,John Sharit,Engineering,3.4,3,0.0,3.3
2018983,Manohar Murthi,Engineering,4.3,2,100.0,3.0
2069788,Mohamed  Abdel-Mottaleb,Engineering,4.0,1,100.0,4.0
859752,Sanjay Roy,Engineering,2.6,5,-1.0,5.0
154275,Herman Cheung,Engineering,2.1,6,-1.0,3.3
1997363,Sung  Joo,Engineering,5.0,1,-1.0,3.0
1156434,Jose Santiago-Anadon,Engineering,3.8,2,-1.0,2.5
129415,Reuven Lask,Engineering,4.1,15,-1.0,3.4
666208,Kai-Fui Wong,Engineering,4.5,23,-1.0,1.6
1282022,NA LI,Engineering,1.8,6,-1.0,4.2
1870662,James Englehardt,Engineering,1.8,2,-1.0,2.0
674345,A Fahad,Engineering,4.4,17,-1.0,2.4
1508768,James Modestino,Engineering,2.0,5,-1.0,4.6
1434044,Seyad Beladi,Engineering,1.9,6,-1.0,1.8
1292830,Jizhou Song,Engineering,3.2,5,-1.0,3.2
1675419,Saman Zonouz,Engineering,4.3,3,-1.0,2.3
1798251,Onur Tigli,Engineering,5.0,1,-1.0,4.0
172170,Kamal Yacoub,Engineering,2.4,21,-1.0,3.4
1250362,Ronald Zollo,Engineering,1.3,4,-1.0,4.5
1250371,Carol Hays,Engineering,3.9,4,-1.0,3.5
734110,Maria Martinez,Engineering,3.4,10,-1.0,2.0
1250368,Jaclyn James,Engineering,4.5,3,-1.0,1.7
725290,Akmal Younis,Engineering,3.8,2,-1.0,3.5
1288476,David Sumanth,Engineering,4.5,1,-1.0,3.0
1399239,Dingxi Qiu,Engineering,4.2,3,-1.0,1.0
1190052,Moiez Tapia,Engineering,3.8,6,-1.0,1.2
154325,Shihab Asfour,Engineering,5.0,4,-1.0,3.3
1942305,Seok Lee,Engineering,3.0,1,-1.0,3.0
3069469,Mingzhe Chen,Engineering,0.0,0,-1.0,0.0
3129256,Landolf Rhode-Barbarigos,Engineering,0.0,0,-1.0,0.0
2768138,Amin Sarafraz,Engineering,0.0,0,-1.0,0.0
3099861,Charles Tomonto,Engineering,0.0,0,-1.0,0.0
2543793,Francisco Beron-Vera,Engineering,0.0,0,-1.0,0.0
2543793,Francisco Beron-Vera,Engineering,0.0,0,-1.0,0.0
2040469,Daniel Berg,Engineering,0.0,0,-1.0,0.0
3166813,Kevin  Boutsen,Engineering,0.0,0,-1.0,0.0
2269904,Alan Lazer,Engineering,0.0,0,-1.0,0.0
2269904,Alan Lazer,Engineering,0.0,0,-1.0,0.0
3043573,Ruth Ron,Engineering,0.0,0,-1.0,0.0
3094363,Sanchit Mehta,Engineering,0.0,0,-1.0,0.0
2548856,Prannoy Suraneni,Engineering,0.0,0,-1.0,0.0
2393636,Mary Benitez,Engineering,0.0,0,-1.0,0.0
2595914,John Yao,Engineering,0.0,0,-1.0,0.0
2548856,Prannoy Suraneni,Engineering,0.0,0,-1.0,0.0
2996584,Derin Ural,Engineering,0.0,0,-1.0,0.0
2811092,Suhrud Rajguru,Engineering,0.0,0,-1.0,0.0
2786536,Zeinab Ramezani,Engineering,0.0,0,-1.0,0.0
2157262,Francisco De Caso y Basalo,Engineering,0.0,0,-1.0,0.0
2933983,Bryson Rudolph,Cinema & Interactive Media,5.0,6,100.0,1.8
3163365,Christine Jung,Cinema & Interactive Media,5.0,1,100.0,1.0
3020160,Alfred Martin,Cinema & Interactive Media,5.0,2,100.0,2.0
2693405,Ching Ting Huang,Cinema & Interactive Media,3.5,2,50.0,2.0
1434494,Ricardo Zulueta,Cinema & Interactive Media,4.8,10,-1.0,3.3
2962983,Rafal Sokolowski,Cinema & Interactive Media,0.0,0,-1.0,0.0
3064947,Timothy  Sparks,Cinema & Interactive Media,0.0,0,-1.0,0.0
638968,Alexander Pons,Information Science,3.1,9,-1.0,3.1
2925449,Blake Larsen,Information Science,0.0,0,-1.0,0.0
2141495,Trevor Green,Electronic Media,4.6,6,100.0,2.8
2651605,Nathaniel Schwartz,Electronic Media,4.3,3,100.0,3.0
1284085,Leonardo Ferriera,Electronic Media,3.5,1,-1.0,1.0
1284081,Steven Owen,Electronic Media,0.0,0,-1.0,0.0
